variable,bartlett_pvalue,mean_diff,mean_production,mean_test,stddev_diff,stddev_production,stddev_test,studentt_pvalue
jcps45,0,395.9038722,936.7171911,1332.621063,997.9107693,6036.861448,7034.772217,
p87521,1.19E-58,6.277903711,110.4425651,116.7204688,18.58700987,533.8364812,552.4234911,0.000115014
e11570,1.35E-24,0.109589464,4.679708878,4.789298342,1.431345018,65.2454965,66.67684152,0.579396432
jcps6,0,0.05417335,1.84066142,1.89483477,0.141861157,0.44951847,0.307657313,0
jcps85,7.58E-254,0.753067202,18.92255154,19.67561874,26.16639147,375.4516259,349.2852344,0.489035096
e03400,4.11E-160,0.568163254,6.74889611,7.317059364,16.62552263,282.7025372,299.3280598,0.514745611
xfpt,4.27E-05,0.000700606,0.960908169,0.961608775,0.001674613,0.193813465,0.192138853,0.226031453
e01100,6.41E-51,0.216963104,3.947561437,4.164524541,15.75523961,487.4010435,503.1562831,0.883798424
e24598,4.32E-45,493.8428953,8053.621706,8547.464602,3323.848744,109631.5917,112955.4404,0.138755686
e19700,1.85E-57,741.472675,11670.51606,12411.98873,5696.239056,165371.8822,171068.1212,0.141390924
e03300,6.49E-41,82.51584388,1461.524607,1544.040451,343.9617448,11943.36313,12287.32488,0.023067891
f3800,2.51E-33,0.001826556,0.033632199,0.035458755,0.004655748,0.180280544,0.184936291,0.000846683
flpdmo,,0,12,12,0,0,0,
jcps8,4.39E-92,0.108288862,3.177144374,3.285433235,0.087331228,2.066553669,1.979222441,3.86E-71
e25960,6.54E-52,1679.458428,25532.62626,27212.08469,13559.24205,415232.5978,428791.8399,0.184252311
jcps93,5.83E-06,0.005152234,0.792934236,0.798086471,0.009407357,0.983509242,0.974101885,0.07921712
e06200,5.93E-48,9693.696655,161913.2859,171606.9825,31682.29174,1011598.568,1043280.86,0.001645054
e24535,2.20E-10,0.015207623,0.389735155,0.404942778,0.388403673,28.67397997,29.06238365,
e20100,1.62E-51,186.2657989,3043.939966,3230.205765,3594.009576,110502.4182,114096.4278,0.579992381
e07220,0,21.24357202,135.1206296,156.3642016,40.46467767,456.2543747,496.7190524,4.84E-50
e02100,9.42E-51,58.73599302,-1037.300797,-1096.03679,1578.763533,48925.0172,50503.78073,0.693443459
e82200,2.18E-38,32.01442409,594.8994949,626.913919,351.7758552,12634.49264,12986.2685,0.404410097
e10900,2.13E-49,2390.814347,37554.07041,39944.88475,8682.561021,272925.5251,281608.0861,0.004016103
e58950,2.79E-51,592.2512228,9226.163128,9818.414351,5998.991951,184895.5274,190894.5193,0.292960937
jcps54,0,0.013231387,0.010227564,0.023458951,0.134471263,0.277528258,0.411999521,
jcps71,0,0.004261954,0.008361284,0.012623238,0.017823323,0.112125251,0.129948574,
ageh,0,3.943063813,43.23010502,47.17316883,11.10605936,28.2166279,17.11056854,
cpsseq,0,7002.568482,39429.47724,32426.90875,3382.448625,22081.91947,18699.47084,0
jcps57,0,41.89615869,124.8092348,166.7053935,557.5156765,1953.586819,2511.102495,4.50E-10
xocah,1.75E-96,0.058277266,0.581827041,0.640104307,0.041830975,0.926110333,0.967941308,1.21E-93
e00300,4.77E-42,1096.890837,17786.1449,18883.03573,6280.586211,214949.7588,221230.345,0.093344513
e00600,5.10E-51,1381.194427,22002.94764,23384.14206,12733.23414,393510.3895,406243.6236,0.249151706
jcps39,0,26.58327254,63.99493625,90.57820879,199.5094392,788.9568502,988.4662894,
jcps65,0.00170205,0.000762434,0.019393655,0.020156089,0.001161339,0.174000366,0.175161704,0.145207621
jcps88,0.781482389,0.013178984,0.92068091,0.907501926,0.000581472,0.988668017,0.989249489,8.81E-06
e11400,3.43E-52,0.066115258,1.017979806,1.084095064,7.325967629,223.7111444,231.037112,0.922713969
